id,title,description,difficulty,imageUrl
0,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
1,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
2,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
3,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
4,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
5,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
6,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
7,Abyssal Sire,Get a unique from the Abyssal Sire,Elite,https://www.runescape.com/img/rsp777/game_icon_abyssalsire.png?2
8,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
9,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
10,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
11,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
12,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
13,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
14,Alchemical Hydra,Get a unique from the Alchemical Hydra,Master,https://www.runescape.com/img/rsp777/game_icon_alchemicalhydra.png?2
